ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,CountryCode,,,,,,,,,
124f3ac4c9972ef862e3fb9000ca58c2c5e6b426194bb7b4a1e982adf09e2dc7,https://www.snap.com/political-ads/asset/ece5027c8704c100cd7193ebd88f04723de24faace51f2db9e715ed3be376d54?mediaType=mp4,USD,14,5397,2018/09/01 16:00:00Z,2018/10/01 06:59:00Z,"Do Something, Inc.",DoSomething.org,,18-20,united states,,,,,,,,,
332a5afb131bc3b892c1a3e7c4de1d3056f25e1271470249ad844fc76270a1a8,https://www.snap.com/political-ads/asset/869e0bc770ed6d92d52ed739b9c061d05d951d078a9d05adc2a7928a3d09b8e9?mediaType=mp4,GBP,339,256805,2018/10/01 22:14:13Z,2018/10/31 22:12:05Z,Dentsu Aegis Network,Home Office,,18-24,united kingdom,,,,,,,,,
baa580be5d3579f1dc1ce669207cd1dc9c6e8dda184fa0c89ac60054d88fd619,https://www.snap.com/political-ads/asset/1791235e6e25e9dcda5c58ea9943efe255e9b462d6ec08cdb48710db21010993?mediaType=mp4,EUR,992,736403,2018/10/27 14:00:00Z,2018/10/31 21:59:00Z,Dentsu Aegis Network France,SIG,,18+,france,,,,,,,,,
1bea2aea0f0e1977c5c9226fbac045b32e6ab512a08819211166635114c4b4da,https://www.snap.com/political-ads/asset/f40c8446c5066242c769caaad94ad9a3b8827f7ce4209a367b3ddbc27969ec07?mediaType=mp4,USD,618,55443,2018/10/18 20:44:09Z,2018/11/06 23:00:00Z,Bully Pulpit Interactive,NextGen America,,18-34,united states,,,,,,,,,
b8f40554f897ae2d33b7c48e19a15872895ba265af95a68598d056d3142b9607,https://www.snap.com/political-ads/asset/d95fa0e1de8048ceec3f620022b67d06fe223f2662ddc4fe423746e30d0d31a7?mediaType=mp4,USD,10,6704,2018/10/31 14:31:16Z,,Chong and Koster,Everytown for Gun Safety AF,,,united states,,,,,,,,,
676739894d1de57cc673ebe96e495d104cf8d138d07c7bdff9adad4dba1555e4,https://www.snap.com/political-ads/asset/6bfcd2d71d1a50bf43c64f4510b97231bc716db3accc1b539f00ec6d1b66aaf9?mediaType=png,USD,53,5150,2018/10/28 17:58:01Z,2018/11/06 22:59:59Z,Mothership Strategies,Progressive Turnout Project,,18+,united states,,,,,,,,,
70fad9fa2aec8c0efbcc8b5eeab7548f1ecc7f4da501afbd577af2ef89982590,https://www.snap.com/political-ads/asset/2eca6cd05da8371f60c55298af60ab68bf69b5b68cfb3b1939e4c1d6ecce32a5?mediaType=png,USD,61,13396,2018/09/28 23:10:14Z,2018/10/10 01:00:00Z,Chong and Koster,Voter Participation Center,FEMALE,18+,united states,,,,,,,,,
b108d284cb973fa5876f6ad75ddece5be4ea9461e508f57494c6f58d7044d1f5,https://www.snap.com/political-ads/asset/2d2c4a872197964decd371bb1a39c007871e2fe910b4dee53899edce4d4aa789?mediaType=mp4,GBP,1461,591977,2018/11/07 11:59:02Z,2018/11/30 23:59:04Z,Manning Gottlieb OMD - OmniGOV,British Army,,25+,united kingdom,,,,,,,,,
40ee7e900be9357ae88181f5c8a56baf6d5aab0e8d0f51a9c6b85221b8c5d434,https://www.snap.com/political-ads/asset/0885d56db9509897d19d2dba617adf4911469a7c6eda3dbc4964c25d607fc45e?mediaType=mp4,EUR,17,23805,2018/11/15 15:52:06Z,2018/11/24 15:50:38Z,Amnesty International Switzerland,Amnesty International,,18+,switzerland,,,,,,,,,
01a6ecef10ea5a26e9633af27f4dd0af0e37c2bb7cb538c3b0e3b48a31c6d888,https://www.snap.com/political-ads/asset/51f9983d44bbdbac4b70a40c0913793af2681a2299a139ac1cfb73450019fdb4?mediaType=png,USD,63,38511,2018/09/28 20:33:08Z,,Chong and Koster,Everytown for Gun Safety AF,,,united states,,,,,,,,,
